ISBN,Book,Author,Themes,Qualities
9780545227247,The Hunger Games: Catching Fire,Suzanne Collins,"dystopia, future, games","exciting, suspenseful, violent, thrilling, entertaining, political,"
9780552779739,The Book Thief,Markus Zusak,"books, literature","historical, dramatic, moving, emotional"
9781447275213,The Lovely Bones ,Alice Sebold,"death, murder, homicide","dark, tragic, mysterious, upsetting, disturbing"
9781501177965,Gorky Park,Martin Cruz Smith,"death, murder, homicide, Russia, detectives, cold war","mysterious, thrilling, exciting, engrossing, entertaining, exotic, gripping"
9781448139880,The Boy in the Striped Pajamas ,John Boyne,"war, totalitarianism, Nazis","profound, tragic, disturbing, compassionate, historical"
9780547416113,Life of Pi,Yann Martel ,"memory, animals, tigers","profound, memorable, philosophical, inspiring, original, surprising, beautiful"
9780008139414,Charlotte's Web ,E.B. White,"spiders, life, nature","profound, tragic, endearing, welcoming, inviting, friendly, sweet, beautiful, surprising"
9780743277716,Angels and Demons,Dan Brown,"religion, art,  mystery","thrilling, exciting, predictable, religious, historical"
9780544177222,The Princess Bride ,William Goldman,"fantasy, magic, sorcery, adventure, ","amusing, fun, funny, intelligent, wise, satirical, romantic, beautiful, sweet, sharp"
9780743477543,A Midsummer Night's Dream ,William Shakespeare,"dreams, fantasy, imagination","amusing, fun, funny, intelligent, whimsical"
9781780747316,Watership Down,Richard Adams,"animals, nature, rabbits","maternal, natural, wise, endearing, sentimental, beautiful"
9781448139859,The Curious Incident of the Dog in the Night-Time ,Mark Haddon,"autism, mystery","profound, sympathetic, observant"
9781408818626,Coraline,Neil Gaiman,"horror, nightmares, dreams","dark, endearing, edgy, exciting, original"
9780143129516,One Flew Over the Cuckoo's Nest ,Ken Kesey,"madness, insanity, nonconformity","profound, dark, satirical, thought-provoking, hip, sane"
9781853260391,A Tale of Two Cities ,Charles Dickens,"war, revolution","profound, political, historical, observant, revolutionary"
9780007422135,And Then There Were None ,Agatha Christie,"mystery, detectives, puzzles, murder","complex, suspenseful, entertaining"
9780748122790,The Historian ,Elizabeth Kostova ,"vampires, history","exciting, scary, frightening, thrilling, entertaining"
9780141903187,Brideshead Revisited ,Evelyn Waugh ,"romance, aristocracy, family, religion","subtle,  attractive, clever, knowledgeable, arty, rich, elegant, classy, appealing, good-looking, sophisticated, stylish"
9781407059518,A Time to Kill ,John Grisham,"law, justice, court, murder","thrilling, exciting, predictable"
9780099537090,The Firm,John Grisham,"law, justice, court, crime","thrilling, exciting, suspenseful"
9781405882491,The Rainmaker,John Grisham,"law, justice, court, insurance","thrilling, exciting, predictable"
9780307742537,The Girl Who Kicked the Hornet's Nest ,Stieg Larsson ,"feminism, mystery, tattoos, hacking, hackers","thrilling, exciting, suspenseful"
9781904919681,Lady Chatterley's Lover ,D.H. Lawrence ,"sex, romance, adultery","erotic, sensual, romantic, sexual, arty, sexy, tempestuous, seductive"
9781904633730,The Hunchback of Notre-Dame ,Victor Hugo,"deformity, obsession","socialist, sympathetic, dark, thought-provoking, romantic"
9781401245252,Watchmen ,Alan Moore and Dave Gibbons,"superheroes, crime, vigilantes, vigilantism, justice","wise, profound, exciting, profound, thought-provoking, violent"
9780316143202,Breaking Dawn,Stephenie Meyer ,"vampires, horror, monsters","sexy, sensual, scary, frightening, thrilling, dark"
9781849435499,The Lion The Witch And The Wardrobe,C.S. Lewis,"fantasy, imagination, adventure, wonder, magic","exciting, welcome, inviting, amusing, fun, enjoyable"
9780553296983,Diary of a Young Girl,Anne Frank,"war, totalitarianism, Nazis","scary, frightening, suspenseful, profound, thought-provoking, dangerous, political, historical, tragic, secure, personable, personal, tender, pure, revealing"
9781444716290,Water For Elephants,Sara Gruen,"animals, romance, adultery","romantic, sensual, dramatic, emotional, sentimental"
9780007378425,A Game Of Thrones,George R.R. Martin,"politics, fantasy, sex, magic, dragons, sorcery, ","sexual, erotic, violent, threatening, dark, political, thrilling, suspenseful, dramatic, epic, impressive, aggressive, thick, sexy"
9780553593716,A Song of Fire and Ice,George R.R. Martin,"politics, fantasy, sex, magic, dragons, sorcery, ","sexual, erotic, violent, threatening, dark, political, thrilling, suspenseful, dramatic, sexy"
9780748130467,The Notebook,Nicholas Sparks,"love, romance, longing","romantic, sensual, dramatic, emotional"
9780141973326,The Help,Kathryn Stockett,"racism, society, segregation, discrimination, Jim Crow","thought-provoking, profound, sympathetic"
9780141345642,The Fault in Our Stars ,John Green,"disease, death, love, destiny","romantic, emotional, appealing, attractive, tragic"
9780297859406,Gone Girl ,Gillian Flynn,"mystery, marriage, scandal","suspenseful, dramatic, tense, popular, surprising, satisfying"
9781844568321,The Last Lecture ,Randy Pausch,"death, academia","inspiring, inspirational, educational, motivating, motivational"
9781603035071,The Adventures of Tom Sawyer ,Mark Twain,adventure,"amusing, fun, funny, welcome, entertaining, popular"
9780765394866,Ender's Game,Orson Scott Card ,"science fiction, aliens, games","dramatic, futuristic, exciting, advanced, high-tech"
9781848940994,The Shining ,Stephen King,"horror, telepathy, isolation, madness, reincarnation, hotel","scary, frightening, exciting, complex, dark, threatening, menacing, intimidating, terrifying"
9781101502730,The Joy Luck Club ,Amy Tan,"family, cultural revolution, China, Chinese American","sympathetic, romantic, historical, sentimental"
9780330461931,Kane and Abel,Jeffrey Archer ,"rivalry, business, capitalism","dramatic, popular, suspenseful"
9780061142024,Stardust,Neil Gaiman,"magic, sorcery, fantasy","spellbinding, magical, entertaining, thrilling, exciting, cheerful, cheery, pleasant, friendly"
9780007494354,The Devil Wears Prada,Lauren Weisberger ,"fashion, clothes, ","glamourous, witty, urban, classy, elegant, stylish, fashionable"
9781853260193,Vanity Fair,William Makepeace Thackeray ,"society, ambition, marriage, social climbing","witty, smart, sharp, cutting, political, stylish, biting, elegant, classy"
9781442014589,The Neverending Story ,Michael Ende,"adventure, fantasy, wonder, magic","endearing, exciting, amusing, fun, thrilling, adventurous, exhilarating"
9781101209059,The Pillars of the Earth,Ken Follett,"religion, history","historical, epic, impressive, religious, stable, solid"
9781453263563,The Good Earth,Pearl S. Buck ,"nature, environmentalism","historical, political, observant"
9781472536891,A Passage to India ,E.M. Forster ,"India, colonialism, empire","historical, classy, elegant, civilized, cultured, smooth"
9780140247725,The Crucible ,Arthur Miller,"justice, hysteria, communism, witches, witchcraft, hysteria","relevant, profound, wise, political, thought-provoking"
9781473544017,Fifty Shades Darker,E.L. James,"sex, bondage, domination","racy, sexy, erotic, sexual, sensual, titillating, pornographic, seductive, steamy, stimulating, pleasurable"
9780525436201,Fifty Shades Freed,E.L. James,"sex, bondage, domination","racy, sexy, erotic, sexual, sensual, titillating, pornographic, seductive, steamy, stimulating, pleasurable, explicit"
9780544176560,The Name of the Rose,Umberto Eco,"mystery, religion, philosophy, semiotics","subtle,  clever, knowledgeable, deep, profound, historical"
9781448181988,Foucault's Pendulum,Umberto Eco,"mystery, philosophy, conspiracies","philosophical, pretentious, mysterious, meaningful, believable, knowledgeable, smart, clever, subtle"
9781400030163,Farewell My Lovely,Raymond Chandler,"mystery, detectives, crime","mysterious, profound, philosophical, dark, edgy, observant, tough"
9780141912417,The Big Sleep,Raymond Chandler,"mystery, detectives, crime","mysterious, profound, philosophical, dark, edgy, observant, tough"
9780141041148,The Long Goodbye,Raymond Chandler,"mystery, detectives, crime","mysterious, profound, philosophical, dark, edgy, observant, tough"
9783741879555,The Maltese Falcon,Dashiell Hammett,"mystery, detectives, crime","mysterious, thrilling, exciting, engrossing, entertaining, tough"
9780575094185,Do Androids Dream of Electric Sheep?,Philip K. Dick,"science, robots, androids, dreams, AI, artificial intelligence","philosophical, dramatic, intelligent, scientific, moral, spiritual, suspenseful"
9780547724935,Martian Time Slip,Philip K. Dick,"Mars, space exploration, science, exploration,","philosophical, dramatic, intelligent, scientific"
9780143194620,The Fountainhead,Ayn Rand,"politics, capitalism, philosophy","political, opinionated, philosophical, scientific, forward-looking, fascist"
9780143529460,Room,Emma Donaghue,"child abuse, exploitation","troubling, disturbing, dramatic, suspenseful"
9781408808665,Eat Pray Love,Elizabeth Gilbert,"religion, love, sex, food, yoga, cooking, cookery, spirituality","spiritual, pleasurable, introspective, happy, agreeable, pleasing, philosophical, insightful, inspiring, sentimental"
9781936317172,Sophie's Choice,William Styron ,"war, totalitarianism, ","moral, subtle, tragic, eventful, profound"
9780553900347,Foundation,Isaac Asimov,"science, imagination","scientific, epic, impressive, thrilling, exciting, gripping"
9780061947438,Mere Christianity,C.S. Lewis,"religion, spirituality, philosophy","religious, moral, spiritual, opinionated, philosophical, helpful, introspective, sentimental"
9780802197177,Cold Mountain,Charles Frazier ,"war, civil war","historical, adventurous, exciting, dramatic, philosophical, eventful"
9781451636949,Flowers In The Attic,V.C. Andrews ,"tragedy, abuse, mistreatment, isolation","dark, tragic, mysterious, upsetting, disturbing"
9781440657795,Red Dragon,Thomas Harris,"horror, crime, murder, cannibals, cannibalism, serial killers","dark, violent, scary, frightening, suspenseful"
9781504052542,The Quiet American,Graham Greene,"war, journalism, romance, ","tragic, historical, profound, philosophical, moral, romantic"
9780241323458,Tinker Tailor Soldier Spy,John le Carré,"espionage, spying, cold war, spies","covert, political, historical, complex, labyrinthine, gripping, stealthy"
9780743442534,The Spy Who Came In From The Cold,John le Carré,"espionage, spying, cold war, spies","covert, political, historical, complex, labyrinthine, gripping, tragic, stealthy"
9780857380302,The Girl Who Played With Fire,Stieg Larsson ,"feminism, mystery, tattoos, hacking, hackers","thrilling, exciting, suspenseful, dramatic"
9780544133402,If on a Winter's Night a Traveler ,Italo Calvino,puzzles,"tantalizing, labyrinthine, spellbinding, impenetrable, intriguing, captivating , imaginative"
9781564781819,At Swim Two Birds,Flann O'Brien,"comedy, mythology, legend","witty, satirical, poetic, playful, biting, imaginative, whimsical, original"
9781446493830,Ready Player One ,Ernest Cline,"games, virtual reality","adventurous, epic, impressive, intriguing, captivating, technical, scientific, fast-paced, hip, cool, thrilling, modern, sophisticated"
9780822221883,Tuesdays with Morrie ,Mitch Albom,"old age, wisdom, death","wise, witty, comforting, soothing, pleasurable, readable, homely, cozy, intimate"
9781401236311,V for Vendetta ,Alan Moore,"revenge, totalitarianism, politics","political, satirical, wise, cunning"
9781501156748,Misery,Stephen King,"horror, obsession","scary, frightening, menacing, threatening, intimidating, violent, suspenseful, dramatic, gripping, terrifying"
9781616411046,Journey to the Center of the Earth,Jules Verne,"adventure, travel, quest","exciting, scary, frightening, thrilling, entertaining"
9780307472175,The Decameron ,Giovanni Boccaccio ,society,"witty, entertaining, diverse"
9781627159432,Exodus,Leon Uris ,"travel, survival","profound, historical, epic, tragic"
9781409081012, Confessions of a Shopaholic,Sophie Kinsella ,"shopping, capitalism, consumers, consumerism","witty, amusing, fun, funny, urban, pleasurable, commercial"
9788170287636,The Prophet,Kahlil Gibran ,"spirituality, religion, wisdom, philosophy","poetic, philosophical, intelligent, spiritual"
9780748122349,I Know Why the Caged Bird Sings ,Maya Angelou,"poetry, solitude","profound, poetic, thought-provoking, meaningful, insightful"
9780763635305,The Gift of the Magi ,O. Henry,"Christmas, love","pleasurable, wise, comforting, welcome, inviting, cheerful, cheery, pleasant, friendly"
9781514683682,Around the World in Eighty Days,Jules Verne,"travel, adventure","entertaining, classy, elegant, exciting, cultured, civilized, witty, adventurous"
9781446442036,Fried Green Tomatoes at the Whistle Stop Cafe ,Fannie Flagg,"love, romance, lesbianism","wise, witty, comforting, soothing, pleasurable, readable"
9780141378541,Matilda,Roald Dahl ,"children, school","amusing, fun, funny, welcome, entertaining, popular, cheerful, cheery, pleasant, friendly, sweet"
9780748124800,Shutter Island ,Dennis Lehane,"madness, crime, obsession, insanity","scary, frightening, exciting, complex, dark, sinister, chilling"
9781476770215,The Sun Also Rises,Ernest Hemingway ,"war, society","elegant, classy, witty, smart, entertaining"
9780062112392,Tales Of The City,Armistead Maupin ,"love, romance, society, dating","witty, wise, insightful, urban, readable, inviting"
9780140437645,The History of the Decline and Fall of the Roman Empire,Edward Gibbon,"history, empire, civilization","intelligent, predictable, epic, impressive, substantive, rational, enlightened, insightful, historical, balanced"
9780811201889,Nausea,Jean-Paul Sartre,philosophy,"subtle, philosophical, profound, thought-provoking, intelligent, pretentious"
9780425269367,The Hunt For Red October,Tom Clancy,"submarines, cold war, navy, espionage","masculine, macho, exciting, thrilling, military, suspenseful, political"
9781409121954,The Bourne Identity,Robert Ludlum ,"espionage, spying, CIA, assassins, spies","exciting, suspenseful, violent, thrilling, entertaining"
9781407095998,The Day of the Jackal ,Frederick Forsyth ,"assassins, assassination, ","exciting, suspenseful, violent, thrilling, entertaining, political,"
9780307763051,Jurassic Park,Michael Crichton,"dinosaurs, genetics, genetic engineering, science, monsters, animals","scary, frightening, menacing, threatening, intimidating, violent, suspenseful, dramatic, gripping, advanced"
9780345544148,Jaws,Peter Benchley ,"sharks, ocean, monsters","scary, frightening, menacing, threatening, intimidating, violent, suspenseful, dramatic, gripping, terrifying"
9780143570264,Presumed Innocent ,Scott Turow,"law, justice, court, crime, murder","suspenseful, dramatic"
9781681774664,Rosemary's Baby,Ira Levin ,"horror, motherhood, satanism, Satan, devil worship","scary, frightening, satanic, dark, religious"
9780062037602,The Stepford Wives,Ira Levin ,"marriage, feminism, misogyny, robots, androids, AI, artificial intelligence","scary, frightening, suspenseful, dark, aggressive, masculine"
9780307816412,The Andromeda Strain ,Michael Crichton,"viruses, bacteria, science, biology","advanced, scary, frightening, hygienic"
9780553898194,Snow Crash,Neal Stephenson ,"technology, virtual reality","advanced, profound, thought-provoking"
9780765318749,I Am Legend,Richard Matheson ,"vampires, zombies, apocalypse","scary, frightening, menacing, threatening, intimidating, violent, suspenseful, dramatic, gripping"
9780571249350,The Remains of the Day,Kazuo Ishiguro ,"romance, aristocracy, longing, ","delicate, civilized, profound, wise, elegant, classy, wistful"
9780547601205,The Man in the High Castle ,Philip K. Dick,"war, alternate history","historical, philosophical, mysterious, profound, wise, troubling, creative"
9781473217393,Neuromancer,William Gibson ,"virtual reality, technology, cyberspace","intelligent, scientific, thrilling, adventurous, exciting, dark, sophisticated, high-tech"
9780871293879,Flowers for Algernon ,Daniel Keyes,"psychology, intelligence","philosophical, dramatic, intelligent, scientific"
9781473206717,A Scanner Darkly ,Philip K. Dick,"drugs, police state","profound, dark, satirical, thought-provoking"
9781448103904,Inherent Vice,Thomas Pynchon,"drugs, ","satirical, articulate, cutting, witty, mysterious, hilarious"
9780826206251,Gravity's Rainbow,Thomas Pynchon,literature,"subtle, profound, clever, intelligent, articulate,"
9780192860927,The Selfish Gene,Richard Dawkins,"genetics, evolution, Darwinism, biology, science","controversial, provocative, informed, informative, scientific, informative, logical, rational"
9781780225029,The Double Helix,James Watson,"DNA, genetics, genetic engineering, science","scientific, witty, intelligent, impressive, educational, informative, insightful, fascinating"
9780451529060,On The Origin Of Species,Charles Darwin,"evolution, Darwinism, biology, science, naturalism","scientific, epic, impressive, educational, informative, trustworthy, credible, convincing, influential, rational"
9780345539434,Cosmos,Carl Sagan,"physics, black holes, science, astronomy, cosmos","scientific, epic, impressive, educational, informative, trustworthy, accessible, rational"
9781409091585,The God Delusion,Richard Dawkins,"religion, faith, atheism, atheists","provocative, daring, controversial, scientific, opinionated, aggressive"
9780060731335,Freakonomics,Steven D. Levitt,"economics, capitalism","interesting, clever, smart, informative, informed, economical, trustworthy, insightful, fresh, accessible, plausible, rational, logical, fascinating"
9780140289206, Gödel_ Escher_ Bach: An Eternal Golden Braid ,Douglas R. Hofstadter ,"mathematics, puzzles, riddles","educational, clever, smart, complex, scientific, labyrinthine, interesting, meaningful, subtle, creative, logical, rational, fascinating"
9780684853949,The Man Who Mistook His Wife for a Hat,Oliver Sacks,"psychology, madness","interesting, sensitive, observant, factual, sympathetic, compassionate, scientific, fascinating"
9780141918921,Thinking Fast and Slow,Daniel Kahneman ,"psychology, rationality, mind","clever, smart, intelligent, subtle, educational, insightful, profound, scientific, interesting, rational, intuitive, trustworthy, credible, fascinating, plausible, logical"
9780007382002,Longitude,Dava Sobel,"science, geography, measurement, clocks","interesting, informed, educational, scientific, informative, historical"
9780226458144,The Structure of Scientific Revolutions ,Thomas Kuhn,"science, revolution, paradigm shifts","clever, smart, intelligent, subtle, educational, technical, interesting, philosophical, organized, logical"
9780618249060,Silent Spring,Rachel Carson,"nature, fertilizers, farming, science","scary, frightening, honest, controversial, informed, scientific, trustworthy, believable, convincing, green"
9780141929682,The Language Instinct: How the Mind Creates Language ,Steven Pinker,"language, linguistics","clever, smart, intelligent, communicative, scientific, interesting"
9780553840919,The Grand Design,Stephen Hawking,"physics, cosmology, cosmos, black holes, big bang","clever, smart, intelligent, educational, scientific, authoritative, trustworthy, meaningful, plausible"
9781594865671,An Inconvenient Truth,Al Gore,"nature, global warming, climate change,","sincere, controversial, informed, opinionated, scientific"
9780230752771,The Immortal Life of Henrietta Lacks ,Rebecca Skloot,"stem cells, biology, genetics, genetic engineering","sincere, controversial, sympathetic, informed, factual"
9780192550071,The Emperor's New Mind,Roger Penrose,"science, physics, artificial intelligence, AI","controversial, substantial, scientific, informative, opinionated"
9781611682144,The Bible,Moses,"genesis, religion, christianity, spirituality","religious, moral, profound, historical, informative, definitive, useful, helpful, wise, spiritual, authoritative, trust, worthy, successful, epic, reliable, convincing, meaningful, rigid, thick"
9780743477741,The Joy of Sex,Alex Comfort,"sex, sexuality","informative, helpful, useful, sexy, erotic, sensual, mature, steamy, realistic, accessible, stimulating, user-friendly, enticing"
9781387570225,The Anarchist Cookbook,William Powell,"bombs, anarchy, anarchists","dangerous, menacing, violent, political, opinionated, evil, revolutionary, user-friendly"
9785879620764,Mastering The Art of French Cooking,Julia Child,"cooking, cookery, cuisine","appetizing, tasty, nutritious, palatable, reliable, fresh, healthy, accessible, spicy, nourishing, user-friendly"
9780877792956,Webster's Dictionary,Noah Webster,"words, meaning","reliable, helpful, knowledgeable, useful, informative, accurate, user-friendly"
9780451522511,Elmer Gantry,Sinclair Lewis,"religion, ","charismatic, persuasive, articulate, meaningful"
9781471108648,It Takes A Village,Hillary Clinton,"family, society","political, socialist, progressive, heartfelt, enlightened, liberal"
9781409060956,My Journey,Tony Blair,politics,"political, sincere, liberal, progressive"
9781453279915,Chicken Soup For The Soul,Jack Canfield and Mark Victor Hansen,"spirituality,  wisdom, philosophy","relaxing, soothing, comforting, helpful, useful, spiritual, nourishing, comfy"
9780307575333,Trump: The Art of the Deal,Tony Schwartz and Donald Trump,"business, real estate, capitalism, money, Trumpism, greed, Trump, Donald Trump","commercial, glamorous, predictable, tough, revealing, marketable, offensive, successful, ruthless"
9781770482241,Robinson Crusoe,Daniel Defoe,"isolation, travel, solitude","exciting, dramatic, popular, entertaining, enjoyable, adventurous, manly, green"
9780748130986,Infinite Jest,David Foster Wallace,"literature, satire, consumerism","modern, complicated, witty, clever, humorous, satirical, hip, sharp, funny"
9781847673527,Dreams From My Father,Barack Obama,"politics, America, ambition, dreams","political, cheerful, inspiring, inspirational, charismatic, charming"
9781847673701,The Audacity of Hope,Barack Obama,"politics, America, ambition, dreams","political, cheerful, inspiring, inspirational, charismatic, audacious, charming"
9781446477779,The Elegant Universe,Brian Greene,"physics, cosmology, cosmos, black holes, big bang, string theory","elegant, scientific, intelligent, smart, sophisticated"
9780141903491,Outliers: The Story of Success,Malcolm Gladwell,"ambition, success, psychology","insightful, compelling, persuasive, successful, convincing"
9780140432497,Fanny Hill: Memoirs of a Woman of Pleasure,John Cleland,"sex, adultery, prostitution","erotic, sensual, romantic, sexual, dirty-minded, pornographic, pleasurable, sexy"
9789381754702,Story of O,Anne Desclos,"sex, sexuality","erotic, sensual, romantic, sexual, pornographic, pleasurable, enticing, sexy"
9781473348363,The 120 Days of Sodom,Marquis de Sade,"sex, sexuality, sodomy, erotica, hedonism","erotic, sensual, sexual, pornographic, enticing, sexy"
9780393325171,Master And Commander,Patrick O'Brian,"navy, ocean, adventure, war","manly, masculine, exciting, macho, thrilling, adventurous, historical"
9781405916370,Big Little Lies,Liane Moriarty,"abuse, ","surprising, engrossing, engaging, gripping, dramatic"
9780393353167,The Big Short,Michael Lewis,"economics, capitalism, money","honest, accurate, plausible, compelling, knowledgeable, understandable, comprehensible, informed, informative, enlightening, truthful, unbiased, balanced, trustworthy, objective"
9781476770512,All The President's Men,Bob Woodward and Carl Bernstein,"politics, scandal, Watergate, journalism","honest, accurate, plausible, compelling, knowledgeable, understandable, comprehensible, informed, informative, enlightening, truthful, unbiased, political, trustworthy, objective"
9781786825131,The Girl On The Train,Paula Hawkins,"mystery, drugs","surprising, engrossing, engaging, gripping, dramatic, satisfying"
9780241967553,The Circle,Dave Eggers,"technology, social media","high-tech, modern, sophisticated, mysterious, challenging, imaginative, fascinating, stimulating, surprising"
9780571249381,Never Let Me Go,Kazuo Ishiguro ,"cloning, clones, genetic engineering, genetics","surprising, engrossing, engaging, gripping, dramatic, disturbing"
9780060254926,Where the Wild Things Are,Maurice Sendak,"children, dreams, monsters","imaginative, adventurous, dark, amusing, fun, frightening"
9780394823379,The Lorax,Dr. Seuss,"fun, fantasy","funny, amusing, fun, appealing, pleasurable, whimsical, pleasant, cheerful, cheery, cute"
9780547345901,The Giver,Lois Lowry,"fantasy, dystopia, future","controversial, thought-provoking, spiritual, religious, philosophical, revealing, revolutionary"
9780226470993,Metaphors We Live By,George Lakoff and Mark Johnson,"metaphors, language, linguistics, psychology","creative, profound, thought-provoking, fascinating, original, plausible, compelling, knowledgeable,"
9780226471013,Women Fire and Dangerous Things,George Lakoff,"metaphors, language, linguistics, psychology","creative, profound, thought-provoking, fascinating, original, plausible, compelling, knowledgeable,"
9780486292731,Gulliver's Travels,Jonathan Swift ,"travel, adventure, ","satirical, imaginative, creative, original, exotic, moral, entertaining, engaging, engrossing, thought-provoking, witty, humorous, wise, philosophical"
9780307824158,Tom Jones,Henry Fielding,"travel, adventure, satire","satirical, witty, wise, humorous, fun, funny, sexual, sensual"
9781575674551,Pilgrim's Progress,John Bunyan,"spirituality, travel","moral, religious, spiritual, ethical"
9781508011859,Tristram Shandy,Laurence Sterne,"nonsense, satire","complex, complicated, funny, humorous, witty, satirical"
9781135070731,Dangerous Liaisons,Pierre Choderlos De Laclos,"sex, romance, love, marriage, adultery, society","erotic, sexual, romantic, dramatic, witty, sharp, sensual, sexy"
9781853260247,David Copperfield,Charles Dickens,"orphans, poverty, adoption","dramatic, engaging, believable, satisfying, romantic"
9780375757310,The Way We Live Now,Anthony Trollope ,society,"moral, ethical, sharp, cutting"
9780803292406,The Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,"science, personality, schizophrenia","suspenseful, scary, frightening, menacing, dark, dramatic, surprising, moral"
9788809753228,Three Men in a Boat,Jerome K. Jerome,"travel, tourism, friendship, friends","humorous, witty, fun, funny, historical, affable, friendly, enjoyable"
9781448161959,The Riddle of the Sands,Erskine Childers,"war, mystery, riddles","political, historical, suspenseful, mysterious, dramatic, engaging, gripping"
9781402782831,The Wind in the Willows,Kenneth Grahame,"animals, nature","humorous, witty, fun, funny, engaging, pleasant, cheery, cheerful, friendly"
9781853262500,The Rainbow,D.H. Lawrence ,"sex, sexuality","historical, romantic, passionate, spiritual, sensual, controversial, provocative"
9788075833501,The Thirty-Nine Steps,John Buchan,"spies, mystery, spying","political, suspenseful, mysterious, dramatic, engaging, gripping"
9780141907178,Scoop,Evelyn Waugh,"journalism, ","satirical, insightful, fun, funny, witty, humorous, enjoyable"
9780802150912,Malone Dies,Samuel Beckett,tragedy,"observant, compassionate, wise, witty"
9780802198822,Waiting for Godot,Samuel Beckett,patience,"challenging, witty, clever, smart, complicated, difficult"
9780141934846,Lucky Jim,Kingsley Amis,"society, academia","satirical, fun, funny, witty, clever, humorous, enjoyable, personable"
9781448180103,The Tin Drum,Günter Grass,magic realism,"controversial, provocative, satirical, cutting, biting, spiritual, pornographic"
9780141975030,Herzog,Saul Bellow,academia,"dramatic, compassionate, sympathetic, engaging, moral"
9780007317998,The Corrections,Jonathan Franzen,"senility, alzheimer's","socialist, dramatic, soulful, moral, heartfelt, worthwhile"
9781455510832,The Executioner's Song,Norman Mailer,"death penalty, death row, prison","controversial, political, accurate, authentic, informative, compassionate, sympathetic, moral, ethical, objective"
9781407019994,Trainspotting,Irvine Welsh,"drugs, Edinburgh, addiction","funny, amusing, witty, dark, humorous, cutting, biting, pornographic, gritty, shocking, hard-hitting, refreshing"
9780141378572,The BFG,Roald Dahl ,giants,"funny, amusing, fun, appealing, pleasurable, whimsical, pleasant, cheerful, cheery, cute, sweet"
9781409028710,London Fields,Martin Amis,murder,"mysterious, dark, gripping, witty, sharp, humorous, satirical, introspective, biting, cutting, moral"
9780571267132,Oscar And Lucinda,Peter Carey,"gambling, religion","romantic, dramatic, spiritual, religious, tragic, sensitive"
9780060932145,The Book of Laughter and Forgetting,Milan Kundera,"laughter, memory","magical, compassionate, political, imaginative, historical"
9781455528745,LA Confidential,James Ellroy,"crime, murder, mystery, detectives","tough, gritty, gripping, engaging, thrilling, exciting, violent, mysterious, complicated, dark, moral"
9781409090021,Atonement,Ian McEwan,"justice, literature, love","moral, philosophical, subtle, profound, ethical, forgiving, historical, romantic, tragic"
9781446400562,American Pastoral,Philip Roth,"society, family","political, observant, historical, dramatic, philosophical, profound, heartfelt"
9781448181971,The Right Stuff,Tom Wolfe,"space, adventure, politics, spaceflight, astronaut, space program, sound barrier, flight","exciting, thrilling, engaging, adventurous, gripping"
9781429960564,Bonfire of the Vanities,Tom Wolfe,"society, politics, law, capitalism, money, business","observant, wise, witty, sharp, humorous, satirical, moral"
9780345447982,The Planet of the Apes,Pierre Boulez,"animals, dystopia, time travel, apes, apocalypse","exciting, thrilling, adventurous, surprising, philosophical, apocalyptic, dystopian"
9783736817654,The Interpretation of Dreams,Sigmund Freud,"dreams, psychology,","observant, smart, clever, intelligent, complicated, scientific, knowledgeable, sexual"
9781937624668,Solaris,Stanislaw Lem,"space, science, dreams, love, obsession","imaginative, creative, scientific, clever, philosophical, subtle"
9780141394602,The Cyberiad,Stanislaw Lem,"robots, fantasy, science fiction","imaginative, creative, scientific, clever, philosophical, witty, humorous, funny, inventive, innovative"
9781407099897,Wilt,Tom Sharpe,"sex, academia","humorous, witty, hilarious, raunchy, bawdy, comical, entertaining, satirical"
9780345803054,Breakfast At Tiffany's,Truman Capote ,"love, marriage, dating, courtship","witty, clever, entertaining, insightful, charming, polished, romantic"
9781934408124,The Seven Spiritual Laws,Deepak Chopra,"new age, soul, spirituality","spiritual, moral, soulful"
9780141180281,Myra Breckinridge,Gore Vidal,"sex, transgender, gender, gay","sexy, transgressive, transgender, "
9781841496061,The Left Hand of Darkness,Ursula Le Guin,"sex, gender, gender fluidity, bisexuality","imaginative, provocative, transgender, profound, deep, transformative"
9781473205994,The Lathe of Heaven,Ursula Le Guin,"dreams, fantasy, imagination","invention, inventive, imaginative, dystopian, "
9781409089650,The Snowman,Jo Nesbo,"serial killers, crime, murder, suspense","tense, nail-biting, nailbiting, suspenseful, mysterious"
9780199678112,Superintelligence,Nick Bostrom,"artificial intelligence, AI, singularity","cautious, speculative, dystopian, philosophical, thorough, worried, wary, concerned"
9781501175534,Fear,Bob Woodward,"Trump, Whitehouse, Trumpism, journalism","probing, insightful, gossipy, observant, damning, revealing, detailed"
9780753549063,Lean In,Sheryl Sandberg,"Facebook, working women, feminism, workplace","honest, inspiring, inspirational"
9780262346443,Twitterbots: Making Machines that Make Meaning,Tony Veale and Mike Cook,"Twitter, bot, bots, Twitterbot, Twitterbots, AI, computational creativity, CC","advanced, whimiscal, inventive, imaginative, creative, practical, thought-provoking"
9781627058513,Metaphor: A Computational Perspective,Tony Veale and Ekaterina Shutova and Beata Beigman Klebanov,"computational, AI, NLP, metaphor, blending, blends, simile, analogy, analogical","creative, thorough, comprehensive, detailed, expansive, figurative"
